ideology,n. 思想体系，意识形态
triangle,n. 三角形；三角铁；三角关系
tune,n. 曲调，曲子 vt. 调音；调整；调频道
intellect,n. 智力，领悟力；才智非凡的人
fancy,adj. 花哨的；精致的；奢华的 vt. 想要，想做；爱慕；自负；认为 vi.  vt. 真没想到，竟然 n. 想象；想要，爱好
shepherd,n. (尤指男性) 牧羊人 vt. 带领，护送
standpoint,n. 立场，观点，角度，立足点
miniature,adj. 很小的，微型的 n. 微型画，小画像；缩微模型
swear,vi. 咒骂，诅咒，说脏话 vt. 发誓要；肯定地说；使起誓 vi.  vt. 发誓，郑重承诺
tailor,n. 裁缝 vt. 定做
transcend,vt. 超出，超越
breeze,n. 微风；轻而易举的事 vi. 轻盈而自信地走
repel,vt. 驱逐；赶走；使厌恶；使反感 vi.  vt. (磁极等) 排斥，相斥
goodness,n. 善良，美德；(食物中的) 营养 int. (表示惊讶) 天哪
originality,n. 原创性，创造性
lawsuit,n. 诉讼，官司
bolt,n. (门窗) 插销；螺栓；一道 (闪电) vt.  vi. 闩上 (门、窗) vt. 用螺栓固定；狼吞虎咽 vi. (马等) 脱缰；(人) 跑开
Neptune,n. 海王星
repressive,adj. 压迫的，专制的；压抑的
creep,vi. 悄悄行进；匍匐行进；渐渐出现 n. 讨厌鬼；马屁精；偏离
medieval,adj. 中世纪的
penalty,n. 处罚，罚金；判罚；罚球；害处
qualitative,adj. 质量的，定性的，性质的
truthful,adj. (人) 诚实的；(陈述等) 如实的
garage,n. 车库；汽车修理厂 vt. 把…送入车库 (或修车厂)
accommodate,vt. 容纳；为…提供住宿；迎合 vi.  vt. (调整以) 适应
receiver,n. 接收器；听筒；接收人
tribe,n. 部落；一伙人；(动植物的) 族
multiply,vi.  vt. 乘；(使) 大量增加；(使) 繁殖
adverse,adj. 不利的，有害的
elicit,vt. 引出，诱出，套出
crack,vi.  vt. (使) 破裂，裂开；砸开，破开 vt. 重击，猛击；找到解决方法 n. 裂缝；缝隙；爆裂声；尝试 adj. 训练有素的，一流的
exempt,adj. 被免除 (义务、付款) 的 vt. 豁免，免除 (义务、付款)
ministry,n. (政府的) 部；(全体) 牧师
gossip,n. 流言蜚语；闲聊；爱说闲话的人 vi. 闲聊，说长道短
scrutiny,n. 彻底审查；仔细检查
exile,n. 流放，流亡；被流放者 vt. 流放，放逐
maneuver,n. 策略；巧妙的移动；军事演习 vi.  vt. (谨慎或熟练地) 移动；操纵
signify,vt. 表示，意味着；表达，表明 vi. 具有重要性，要紧
utility,n. (水、电等) 公用事业；实用 adj. 多功能的，多用途的
laundry,n. (要洗或洗好的) 衣物；洗衣房
scramble,vi. 攀爬；争抢，争夺 vt. 仓促完成；扰乱；炒 (蛋) n. 攀爬；争夺；摩托车越野赛 vt.  vi. (使) 紧急起飞
crumble,vt.  vi. (使) 粉碎，(使) 破裂 vi. 崩塌，破裂；衰落，崩溃
juvenile,adj. 少年的；幼稚的；(动物) 幼小的 n. 少年；幼仔，雏鸟
dread,vt. 非常害怕，极为担心 n. 恐惧，令人惧怕的事物
skillful,adj. 技术好的，熟练的；处理巧妙的
innocence,n. 清白，无罪；天真，单纯，纯真
bronze,n. 青铜；青铜色；青铜制品；铜牌 adj. 青铜色的
misconduct,n. 不端行为，失职；管理不善
preferable,adj. 更好的，更可取的，更合适的
prudent,adj. 谨慎的；慎重的；精明的
whilst,conj. 当…的时候，然而，尽管
turbulence,n. 涡流，紊流；动荡，骚乱
textile,n. 织物，纺织品；纺织业
conceive,vt.  vi. 想象，想出，构想；怀孕
tackle,vt. 处理 (难题)；与某人交涉；抓获 vt.  vi. 抢球，抢断；擒抱摔倒 n. 抢断球；阻截队员；体育器材
immense,adj. 巨大的，极大的
racial,adj. 种族间的；种族的，人种的
reconcile,vt. 使和谐一致；使和好；妥协
contaminate,vt. 污染，弄脏；玷污，毒害
humane,adj. 人道的，仁慈的
assembly,n. 立法机构，议会；集会；组装
distract,vt. 分散 (注意力)，使分心
infection,n. (被) 传染；传染病；感染
sideways,adv. 往 (或从、向) 一侧；侧着 adj. 侧着的
mortgage,n. 房屋抵押贷款，按揭 vt. 抵押 (房屋、土地) 借款
stroke,n. 击球；一击；一笔；中风；轻抚 n. (成功的) 举动；钟声；游泳姿势 vt. 轻抚，抚摸；轻触，轻拭
reluctant,adj. 勉强的，不情愿的
lawn,n. 草坪，草地
incompatible,adj. 不相容的；合不来的；不兼容的
aggravate,vt. 加重，使恶化；激怒，使恼火
refine,vt. 提炼，精炼；改善，改良
distill,vt. 蒸馏；提炼 (信息)
pan,n. 平底锅；烤盘 vt. 严厉批评；淘 (金) vi.  vt. 追拍，摇摄
drag,vt. 拖，拉；生拉硬拽；用鼠标拖动 vi.  vt. 缓慢而费力地移动 vi. (时间或活动) 过得很慢 n. 累赘；讨厌的人或事；空气阻力
restless,adj. 坐立不安的；没有真正休息的
integrity,n. 正直，诚实；完整，完全
apology,n. 道歉，认错
cathedral,n. 大教堂，主教座堂
drift,vi. 漂流，漂；缓缓移动 vt. 使漂流，使漂浮 n. 雪堆；水流，气流；主旨；偏航
wool,n. (羊等的) 毛；毛线；羊毛织物
cushion,n. 坐垫，靠垫；起缓冲作用的事物 vt. 起缓冲作用；减轻…的影响
denote,vt. (符号等) 代表；表示，意指
expertise,n. 专门技术，专门知识，专长
laughter,n. 笑，笑声
vibrate,vi.  vt. (使) 振动，(使) 颤动
disapprove,vi.  vt. 不赞成，反对
eccentric,adj. 古怪的；怪异的 n. 行为古怪的人
grieve,vi.  vt. (因某人去世而) 悲伤，悲痛 vt. 使难过，使悲伤
instruct,vt. 指示，吩咐；教授，传授
crush,vt. 压坏；捣碎；镇压；使非常伤心 vt.  vi. (使) 变皱 n. 迷恋；拥挤的人群；果汁饮料
troop,n. 军队，部队；一群人 vi. 成群结队而行 adj. 军队的
incur,vt. 招致，引起，蒙受
commemorate,vt. (用…) 纪念，作为…的纪念
monument,n. 纪念碑，纪念馆；名胜；典范
premature,adj. 过早的；早产的；仓促的
wardrobe,n. 衣柜；全部服装；服装部
transplant,n. (器官等的) 移植；移植的器官 vt. 移植 (器官等)；移栽；使迁移
noble,adj. 高尚的；贵族的；壮观的 n. 贵族
academy,n. 专科院校，学校；研究院，学会
aerial,adj. 从飞机上的；空中的 n. (电视等的) 天线
prospector,n. 勘探者，探矿者
choke,vi.  vt. (使) 窒息，噎住；使哽咽 vt. 掐死，勒死；阻塞，塞满 vi. (因紧张而) 失败，发挥失常 n. 窒息，哽噎声
dictation,n. 口述，口授；听写 (测试)
maturity,n. 成熟；到期
utmost,adj. 极度的，最大的 n. 极限，最大限度
sorrow,n. 悲伤，伤心；令人悲伤的事 vi. 感到悲伤
shrewd,adj. 精明的，敏锐的
degenerate,vi. 恶化，衰退，堕落 adj. 堕落的，腐化的；退化的 n. 堕落的人，腐化的人
concrete,adj. 确实的，具体的；混凝土制的 n. 混凝土
obedience,n. 服从，驯服
disgraceful,adj. 不光彩的，可耻的
vivid,adj. 生动的，清晰的；鲜艳的
explosion,n. 爆炸 (声)；爆发，激增
allocate,vt. 分配，划拨
culminate,vi. 以…告终，达到…的顶点
proceeding,n. 诉讼；一系列行动；(会议) 记录
renew,vt. 延长，使续期；重新开始；更换
collaborate,vi. 合作，协作；勾结，叛国
mosquito,n. 蚊子
luncheon,n. 午餐，午宴
compel,vt. 强迫，逼迫
bitter,adj. 使人悲痛的；苦的；严寒的 adj. 激烈而不愉快的；愤愤不平的 n. 苦啤酒；苦酒原汁
wrinkle,n. 皱纹；皱褶 vt.  vi. (使) 长皱纹；(使) 起皱，起褶
relentless,adj. 不停的，持续的；无情的
superintendent,n. 负责人；警长；(大楼) 看管人
veteran,n. 有经验的人，老手；退伍军人
anemia,n. 贫血症
worthless,adj. 无价值的；一无是处的
symposium,n. 专题讨论会，研讨会
unveil,vt. 公布，推出；为…揭幕
endeavor,vi. 努力，尽力 n. 努力，尝试
flap,vt.  vi. 拍打 (翅膀)；摆动，挥动 vi. 忧虑，激动 n. 片状垂悬物；拍打 (声)；忧虑
haste,n. 匆忙，仓促
disrupt,vt. 使中断，扰乱
upright,adj. 直立的；立式的；正直的 adv. 竖立地，直立地
nonsense,n. 胡说；愚蠢的举动；无意义的话
addicted,adj. 上瘾的；入迷的
herb,n. 香草，药草
reservoir,n. 水库；大量储备；储液器
antique,adj. 古董的，古玩的 n. 古董，古玩
telescope,n. 望远镜 vt. 缩短 (长度或时间)
beam,n. 光束，光线；横梁；平衡木 vi.  vt. 眉开眼笑；照耀 vt. 发射 (信号)
fragment,n. 碎片，片段，小部分 vt.  vi. (使) 成碎片，(使) 分裂
inevitable,adj. 不可避免的，必然发生的
malicious,adj. 恶毒的，怀有恶意的
radical,adj. 根本的，彻底的；激进的 n. 激进分子；游离基
imperialism,n. 帝国主义；势力扩张
harsh,adj. 严厉的；恶劣的；刺耳的
refugee,n. 难民，避难者
magnificent,adj. 宏伟的，令人印象深刻的
slavery,n. 奴隶制；奴隶身份
cruise,n. 乘船游览，航行 vi.  vt. 乘船游览；慢速行驶，巡行 vi. 以平稳的速度行驶；轻易赢得
moisture,n. 潮气，湿气，水分
quotation,n. 引文，引语；引用；报价；牌价
doctrine,n. 信条，主义，教义
unanimous,adj. 一致通过的；意见一致的
opponent,n. 对手，竞争者；反对者
steep,adj. 陡的；急剧的；(价格等) 过高的 vt. 浸泡 (食物)
ventilate,vt. 使…通风；公开表达，公开讨论
blossom,n. (树或灌木的) 花，花簇 vi. 开花；变得健康 (快乐等)，兴旺
bubble,n. 气泡；肥皂泡；经济泡沫 vi. 起泡，冒泡；(情绪等) 涌动
punctuate,vi.  vt. 在…中加标点 vt. 不时打断
persist,vi.  vt. 顽强坚持，执着 vi. 持续，延续
hasty,adj. 仓促的，草率的，冲动的
composer,n. 作曲家
verse,n. 诗；诗节；(《圣经》等中的) 节
rear,n. 后部 adj. 后面的，后部的 vt. 抚养，养育；饲养 vi. (尤指马) 用后腿直立；巍然耸立
torture,n. 拷打，拷问；折磨，煎熬 vt. 拷打，拷问；使痛苦，使受煎熬
condense,vi.  vt. (使) 凝结；(使) 浓缩，变浓稠 vt. 压缩，精简 (文章或讲话)
operational,adj. 可运转的；运营的；军事行动的
catastrophe,n. 重大灾难，横祸
socialist,adj. 社会主义的 n. 社会主义者，社会主义党人
spite,n. 怨恨，恶意 vt. 故意伤害，激怒
tight,adj. 紧的；紧身的；严格的；拮据的 adv. 紧紧地，牢固地
clinic,n. 诊所；门诊时间；研习班
inhabitant,n. 居民，栖居的动物
intensify,vi.  vt. 加强，强化，加剧
parliament,n. 议会，国会
acute,adj. 严重的，剧烈的；(疾病) 急性的 adj. (感官) 灵敏的；敏锐的；锐角的
clarify,vt. 阐明，阐释
testimony,n. 证词，口供；证据，证明
narrative,n. 叙事；记叙，叙述 adj. 记叙的，叙述的
rigid,adj. 严格的，死板的；固执的；僵硬的
courtesy,n. 谦恭有礼的举止，礼貌 adj. 可免费使用的
petrol,n. 汽油
gravity,n. 重力，地心引力；(事态的) 严重性
menace,n. 危险的事物 (人)；威胁；捣蛋鬼 vt. 危及，威胁到
merit,n. 优秀品质，价值；优点，长处 vt. 值得，应受到
crisp,adj. 脆的，酥脆的；挺括的；凉爽的 n. 炸薯片；水果酥 vi.  vt. (使) 变脆
numerical,adj. 数字的，以数字表示的
romance,n. 罗曼史；恋爱；爱情故事 vt. 和 (某人) 谈情说爱
supper,n. 晚饭，夜宵
twist,vt.  vi. (使) 弯曲变形；扭动；缠绕 vi. 曲折，蜿蜒 vt. 使弯曲；转动，旋转；扭伤；曲解 n. 转动，旋转；转折；急转弯处
uncertain,adj. 不确定的，无把握的；不清楚的
triple,adj. 三个的，三部分的；是…的三倍 vi.  vt. (使) 变成三倍
ally,n. 同盟国；支持者，盟友 vt.  vi. 与…结盟，与…联合
sanction,n. 制裁；许可，批准；处罚 vt. 许可，准许；惩罚，实施制裁
evoke,vt. 引起，唤起 (回忆或感情等)
fasten,vt.  vi. 扣紧，系牢；(使) 盖好；抓牢 vt. 使牢固，使固定
pronounce,vt. 发音；正式宣布，宣告
submission,n. 屈服，投降；提交 (的文件或建议)
slender,adj. 苗条的；细长的；微薄的
sweat,n. 汗；出汗，流汗；累活儿；运动服 vi.  vt. 出汗，流汗；焖 vi. 艰苦努力；担心，忧虑，不安
thermometer,n. 温度计
wipe,vt. 擦，拭；抹去，消除 n. 擦，拭；(湿) 纸巾
garbage,n. 垃圾；垃圾箱；废话
kettle,n. 烧水壶
claw,n. 爪；螯，钳 vi.  vt. 抓，挠
tunnel,n. 地道，隧道；(动物挖的) 洞穴 vi.  vt. 挖隧道，挖地道
rhythm,n. 节奏，韵律；规律性变化
carrier,n. 运输公司；病原携带者；搬运人 n. 军输车，航空母舰；通信公司
continuous,adj. 持续的，连续的；进行式的
glory,n. 荣誉，光荣；壮丽，辉煌
fiber,n. 纤维；纤维织物
oral,adj. 口头的；口腔的，口的 n. 口试
aisle,n. 过道，走道
servant,n. 仆人；政府雇员；受制于…的人
curl,vt.  vi. (使) 卷曲；蜷曲；(使) 旋绕 n. (一绺) 鬈发；卷曲；卷状物
barber,n. 男理发师；(男) 理发店
declaration,n. 宣布，宣言；声明；申报 (单)
resign,vi.  vt. 辞职 vt. 使顺从
bystander,n. 旁观者，局外人
prolong,vt. 延长，拖延
telegraph,n. 电报，电报机 vi.  vt. (给…) 发电报 vt. 流露，暴露
hesitant,adj. 犹豫的；迟疑的
specialty,n. 专业，专长；特产，特色菜
fertilizer,n. 肥料，化肥
soar,vi. 升空；猛增；翱翔；耸立；高涨
precede,vt.  vi. 先于…(发生或存在) vt. 走在…之前
forecast,n. 预测，预报 vt. 预测，预报
drastic,adj. 严厉的，极端的；(变化) 急剧的
excerpt,n. 摘录，节选片段 vt. 摘录，节选
concession,n. 让步，认输；特许；租地营业权
damp,adj. 潮湿的，湿气重的 n. 潮湿，湿气 vt. 使潮湿；抑制(感情等)
guideline,n. 指导方针，准则；参考
quote,vt.  vi. 引用，引述 vt. 举例说明；开价，报价 n. 引文，引语；报价，估价；引号
tuberculosis,n. 肺结核
overturn,vi.  vt. (使) 翻倒，打翻 vt. 推翻 (判决等)；颠覆 (政府等)
corps,n. 特种部队；一组人；军，兵团
saucer,n. 茶碟，茶托
staircase,n. 楼梯
lip,n. 嘴唇；边沿；无礼的话
perish,vi. 死亡，猝死；湮灭，毁灭，丧失
precedent,n. 可援引的例子；先例；惯例
tray,n. 托盘，浅盘
ash,n. 灰，灰烬；废墟；骨灰；白蜡树
weld,vt.  vi. 焊接；熔接 vt. 使…团结；使…结合 n. 焊接点
deed,n. 行为；契约
